_normalization	Derived from cargo metadata; omitted manifest paths and unrelated packages, and retained only fields cited by the review.
package	version	source	license	has_build_script	is_proc_macro
directories	6.0.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	false	false
dirs-sys	0.5.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	false	false
libredox	0.1.23	registry+https://github.com/rust-lang/crates.io-index	MIT	false	false
option-ext	0.2.0	registry+https://github.com/rust-lang/crates.io-index	MPL-2.0	false	false
redox_users	0.5.2	registry+https://github.com/rust-lang/crates.io-index	MIT	false	false
serde_spanned	1.1.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	false	false
tokio-macros	2.7.2	registry+https://github.com/rust-lang/crates.io-index	MIT	false	true
toml	1.1.5+spec-1.1.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	false	false
toml_datetime	1.1.1+spec-1.1.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	false	false
toml_parser	1.1.3+spec-1.1.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	false	false
toml_writer	1.1.2+spec-1.1.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	false	false
winnow	1.0.4	registry+https://github.com/rust-lang/crates.io-index	MIT	false	false
