crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-3-Clause	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MIT-0	Unicode-3.0	Unlicense
as-any@0.3.2	X							X			
ask@0.1.0	X										
async-stream@0.3.6								X			
async-stream-impl@0.3.6								X			
atomic-waker@1.1.2	X							X			
autocfg@1.5.1	X							X			
aws-lc-rs@1.18.1	X					X					
aws-lc-sys@0.45.0	X		X			X		X	X		
base64@0.22.1	X							X			
bitflags@2.13.1	X							X			
block-buffer@0.10.4	X							X			
bumpalo@3.20.3	X							X			
bytes@1.12.1								X			
cc@1.4.5	X							X			
cfg-if@1.0.4	X							X			
cmake@0.1.58	X							X			
combine@4.6.8								X			
core-foundation@0.10.1	X							X			
core-foundation@0.9.4	X							X			
core-foundation-sys@0.8.7	X							X			
cpufeatures@0.2.17	X							X			
crypto-common@0.1.7	X							X			
digest@0.10.7	X							X			
displaydoc@0.2.7	X							X			
dunce@1.0.5	X			X					X		
dyn-clone@1.0.20	X							X			
encoding_rs@0.8.35	X		X					X			
equivalent@1.0.2	X							X			
eventsource-stream@0.2.3	X							X			
fastrand@2.5.0	X							X			
find-msvc-tools@0.1.12	X							X			
fnv@1.0.7	X							X			
form_urlencoded@1.2.2	X							X			
fs_extra@1.3.0								X			
futures@0.3.34	X							X			
futures-channel@0.3.34	X							X			
futures-core@0.3.34	X							X			
futures-executor@0.3.34	X							X			
futures-io@0.3.34	X							X			
futures-macro@0.3.34	X							X			
futures-sink@0.3.34	X							X			
futures-task@0.3.34	X							X			
futures-timer@3.0.4	X							X			
futures-util@0.3.34	X							X			
generic-array@0.14.7								X			
getrandom@0.4.3	X							X			
glob@0.3.4	X							X			
gloo-timers@0.4.0	X							X			
h2@0.4.19								X			
hashbrown@0.17.1	X							X			
http@1.5.0	X							X			
http-body@1.1.0								X			
http-body-util@0.1.5								X			
httparse@1.10.1	X							X			
hyper@1.11.1								X			
hyper-rustls@0.27.9	X					X		X			
hyper-util@0.1.20								X			
icu_collections@2.3.0										X	
icu_locale_core@2.3.0										X	
icu_normalizer@2.3.0										X	
icu_normalizer_data@2.3.0										X	
icu_properties@2.3.0										X	
icu_properties_data@2.3.0										X	
icu_provider@2.3.1										X	
idna@1.1.0	X							X			
idna_adapter@1.2.2	X							X			
indexmap@2.14.1	X							X			
ipnet@2.12.1	X							X			
itoa@1.0.18	X							X			
jni@0.22.4	X							X			
jni-macros@0.22.4	X							X			
jni-sys@0.4.1	X							X			
jni-sys-macros@0.4.1	X							X			
jobserver@0.1.35	X							X			
js-sys@0.3.104	X							X			
libc@0.2.189	X							X			
litemap@0.8.3										X	
log@0.4.34	X							X			
memchr@2.8.3								X			X
mime@0.3.17	X							X			
mime_guess@2.0.5								X			
minimal-lexical@0.2.1	X							X			
mio@1.2.3								X			
nom@7.1.3								X			
num-traits@0.2.19	X							X			
once_cell@1.21.4	X							X			
openssl-probe@0.2.1	X							X			
ordered-float@5.5.0								X			
percent-encoding@2.3.2	X							X			
pin-project@1.1.13	X							X			
pin-project-internal@1.1.13	X							X			
pin-project-lite@0.2.17	X							X			
pkg-config@0.3.34	X							X			
potential_utf@0.1.6										X	
proc-macro2@1.0.107	X							X			
quote@1.0.47	X							X			
r-efi@6.0.0	X						X	X			
ref-cast@1.0.27	X							X			
ref-cast-impl@1.0.27	X							X			
reqwest@0.13.4	X							X			
rig-core@0.42.0								X			
rustc_version@0.4.1	X							X			
rustls@0.23.43	X					X		X			
rustls-native-certs@0.8.4	X					X		X			
rustls-pki-types@1.15.1	X							X			
rustls-platform-verifier@0.7.0	X							X			
rustls-platform-verifier-android@0.1.1	X							X			
rustls-webpki@0.103.15						X					
rustversion@1.0.23	X							X			
same-file@1.0.6								X			X
schannel@0.1.29								X			
schemars@1.2.2								X			
schemars_derive@1.2.2								X			
security-framework@3.7.0	X							X			
security-framework-sys@2.17.0	X							X			
semver@1.0.28	X							X			
send_wrapper@0.6.0	X							X			
serde@1.0.229	X							X			
serde_core@1.0.229	X							X			
serde_derive@1.0.229	X							X			
serde_derive_internals@0.30.0	X							X			
serde_json@1.0.151	X							X			
sha2@0.10.9	X							X			
shlex@2.0.1	X							X			
simd_cesu8@1.2.0	X							X			
simdutf8@0.1.5	X							X			
slab@0.4.12								X			
smallvec@1.16.0	X							X			
socket2@0.6.5	X							X			
stable_deref_trait@1.2.1	X							X			
subtle@2.6.1			X								
syn@2.0.119	X							X			
syn@3.0.5	X							X			
sync_wrapper@1.0.2	X										
synstructure@0.13.2								X			
system-configuration@0.7.0	X							X			
system-configuration-sys@0.6.0	X							X			
thiserror@2.0.20	X							X			
thiserror-impl@2.0.20	X							X			
tinystr@0.8.4										X	
tokio@1.53.1								X			
tokio-rustls@0.26.5	X							X			
tokio-util@0.7.19								X			
tower@0.5.3								X			
tower-http@0.6.11								X			
tower-layer@0.3.3								X			
tower-service@0.3.3								X			
tracing@0.1.44								X			
tracing-attributes@0.1.31								X			
tracing-core@0.1.36								X			
tracing-futures@0.2.5								X			
try-lock@0.2.5								X			
typenum@1.20.1	X							X			
unicase@2.9.0	X							X			
unicode-ident@1.0.24	X							X		X	
untrusted@0.9.0						X					
url@2.5.8	X							X			
utf8_iter@1.0.4	X							X			
version_check@0.9.5	X							X			
walkdir@2.5.0								X			X
want@0.3.1								X			
wasi@0.11.1+wasi-snapshot-preview1	X	X						X			
wasm-bindgen@0.2.127	X							X			
wasm-bindgen-futures@0.4.77	X							X			
wasm-bindgen-macro@0.2.127	X							X			
wasm-bindgen-macro-support@0.2.127	X							X			
wasm-bindgen-shared@0.2.127	X							X			
wasm-streams@0.5.0	X							X			
web-sys@0.3.104	X							X			
webpki-root-certs@1.0.9					X						
winapi-util@0.1.11								X			X
windows-link@0.2.1	X							X			
windows-registry@0.6.1	X							X			
windows-result@0.4.1	X							X			
windows-strings@0.5.1	X							X			
windows-sys@0.61.2	X							X			
writeable@0.6.4										X	
yoke@0.8.3										X	
yoke-derive@0.8.2										X	
zerofrom@0.1.8										X	
zerofrom-derive@0.1.7										X	
zeroize@1.9.0	X							X			
zerotrie@0.2.5										X	
zerovec@0.11.8										X	
zerovec-derive@0.11.6										X	
zmij@1.0.23								X			
